Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACKIT,Ackrell SPAC Partners I Co. Subunits,$10.11,-0.01,-0.099%,0.00,United States,2021,17660,,
ACKIU,Ackrell SPAC Partners I Co. Units,$10.35,-0.01,-0.097%,0.00,United States,2020,225,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,$0.4401,-0.0299,-6.362%,0.00,United States,2021,2700,,
ACLS,Axcelis Technologies Inc. Common Stock,$68.98,0.25,0.364%,2297846791.00,United States,2000,137566,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,$79.82,1.70,2.176%,1557116188.00,United States,2017,65778,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,$28.93,-0.04,-0.138%,251548404.00,United States,,425,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,$2.73,0.02,0.738%,30582121.00,United States,2006,69502,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACQR,Independence Holdings Corp. Class A Ordinary Share,$9.79,0.01,0.102%,606057518.00,United States,2021,441,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,$9.95,0.00,0.00%,0.00,United States,2021,20,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,$0.96,-0.015,-1.538%,0.00,United States,2021,1808,Finance,Business Services
ACRS,Aclaris Therapeutics Inc. Common Stock,$13.30,0.08,0.605%,814323529.00,United States,2015,59945,Health Care,Biotechnology: Pharmaceutical Preparations
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$0.6071,-0.0069,-1.124%,72438312.00,United States,2011,158567,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,$1.215,0.015,1.25%,53810142.00,Canada,,78667,,
ACT,Enact Holdings Inc. Common Stock,$21.27,-0.13,-0.607%,3463613372.00,United States,2021,21333,Finance,Specialty Insurers
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,$10.04,-0.03,-0.298%,390509625.00,United States,2021,30791,,
ACTDU,ArcLight Clean Transition Corp. II Unit,$10.40,0.00,0.00%,0.00,United States,2021,214,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,$1.85,0.04,2.21%,0.00,United States,2021,1902,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.1075,0.3475,7.30%,253290384.00,United States,,104707,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,$20.10,0.30,1.515%,3127059068.00,United States,2021,315866,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$4.42,-0.11,-2.428%,45153801.00,United States,2021,3128,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,$10.21,0.26,2.613%,444918168.00,China,2021,15007,Health Care,Biotechnology: Pharmaceutical Preparations
ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.05,-0.02,-0.199%,0.00,United States,2021,6001,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.85,-0.04,-1.028%,601385631.00,United Kingdom,2015,394172,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,$648.13,-1.83,-0.282%,308380254000.00,United States,1986,605591,Technology,Computer Software: Prepackaged Software
ADER,26 Capital Acquisition Corp. Class A Common Stock,$9.86,0.05,0.51%,338937500.00,United States,2021,61674,,
ADERU,26 Capital Acquisition Corp. Unit,$10.36,0.20,1.969%,0.00,United States,2021,8241,,
ADERW,26 Capital Acquisition Corp. Warrant,$0.7925,0.0266,3.473%,0.00,United States,2021,5031,,
ADES,Advanced Emissions Solutions Inc. Common Stock,$6.71,0.02,0.299%,126585089.00,United States,,9531,Basic Industries,Industrial Specialties
ADGI,Adagio Therapeutics Inc. Common Stock,$35.955,-2.775,-7.165%,4000053435.00,United States,2021,225381,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,$185.43,-1.21,-0.648%,97412066509.00,United States,,652087,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,$2.94,0.17,6.137%,61054133.00,United States,2018,63390,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,$0.65,0.01,1.563%,0.00,United States,2018,1315,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,$1.3864,0.0264,1.941%,271476276.00,United States,,455468,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.7249,0.0116,1.626%,107927564.00,United States,,334222,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$7.32,0.23,3.244%,149607683.00,United States,2018,31647,,
ADNWW,Advent Technologies Holdings Inc. Warrant,$1.25,0.03,2.459%,0.00,United States,2018,19035,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.20,-0.03,-0.293%,120400800.00,United States,2020,2700,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,$0.36,-0.0001,-0.028%,0.00,United States,2020,401,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,$0.25,0.01,4.167%,0.00,United States,2020,6252,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,$233.52,-1.61,-0.685%,98401601488.00,United States,,282006,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,$28.56,0.93,3.366%,4030725465.00,United States,2019,286191,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
